'Configuration Parameter:;"Decimal separator: , List separator: ; ";Layout Version V6.2;WinCC Version K7.0.3.5
'Var Version V1.0;
'Varname;Conn;Group;Spec;Flag;CTyp;CLen;CPro;CFor;P1;P2;P3;P4;P5;P6;L1;L2;L3;L4;L5;L6;L7;L8;LF1;LF2;LF3;LF4;SCF;SPU;SPO;SVU;SVO;Creator-ID
ZRU6_ZRU6_EvalPar_Cell2_PM130_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400323";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Uab;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400325";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Ubc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400327";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Uca;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400329";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Pa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400331";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Pb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400333";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Pc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400335";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Qa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400337";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Qb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400339";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Qc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400341";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Sa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400343";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
